Time (s),SEF,HTR,BW0,BW1,MET,MAP,PAR,GAR,GF1,GF2,EXT,Pres (hPa),dP (hPa/line),Temp (C),Batt (V),Cap (V),GPS Flag (HEX),GPS SV,Lon,Lat,Alt (m),Date,Time,gSpeed (m/s),aRate (m/s),aFilt (m/s),heading (deg)
199,,,,,,,,,,,,1005.17,-0.20,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.42,20220731,12:41:54,0.03,0.05,0.04,0,
200,,,,,,,,,,,,1005.16,-0.19,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.43,20220731,12:41:55,0.01,0.06,0.04,0,
201,,,,,,,,,,,,1005.15,-0.19,28.7,3.31,3.34,1,9,-77.75669,39.32362,121.53,20220731,12:41:56,0.05,0.14,0.05,0,
202,,,,,,,,,,,,1005.18,-0.18,28.7,3.31,3.34,1,9,-77.75669,39.32362,121.51,20220731,12:41:57,0.12,0.20,0.05,0,
203,,,,,,,,,,,,1005.08,-0.18,28.7,3.31,3.34,1,9,-77.75669,39.32362,121.51,20220731,12:41:58,0.02,-0.08,0.05,0,
204,,,,,,,,,,,,1005.20,-0.17,28.7,3.31,3.34,1,9,-77.75669,39.32362,121.57,20220731,12:41:59,0.01,-0.02,0.05,0,
205,,,,,,,,,,,,1005.19,-0.16,28.7,3.31,3.34,1,9,-77.75669,39.32362,121.74,20220731,12:42:00,0.05,0.03,0.04,0,
206,,,,,,,,,,,,1005.18,-0.16,28.8,3.31,3.34,1,9,-77.75669,39.32362,121.88,20220731,12:42:01,0.03,0.03,0.04,0,
207,,,,,,,,,,,,1005.14,-0.16,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.07,20220731,12:42:02,0.01,0.02,0.04,0,
208,,,,,,,,,,,,1005.17,-0.15,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.17,20220731,12:42:03,0.04,-0.08,0.04,0,
209,,,,,,,,,,,,1005.07,-0.15,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.24,20220731,12:42:04,0.04,-0.04,0.04,0,
210,,,,,,,,,,,,1005.18,-0.14,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.33,20220731,12:42:05,0.03,-0.02,0.04,0,
211,,,,,,,,,,,,1005.14,-0.14,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.40,20220731,12:42:06,0.03,0.08,0.04,0,
212,,,,,,,,,,,,1005.18,-0.13,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.40,20220731,12:42:07,0.07,0.13,0.04,0,
213,,,,,,,,,,,,1005.13,-0.13,28.8,3.31,3.34,1,9,-77.75669,39.32362,122.50,20220731,12:42:08,0.05,0.07,0.04,0,
214,,,,,,,,,,,,1005.17,-0.13,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.51,20220731,12:42:09,0.03,-0.10,0.04,0,
215,,,,,,,,,,,,1005.15,-0.12,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.45,20220731,12:42:10,0.06,-0.07,0.03,0,
216,,,,,,,,,,,,1005.20,-0.12,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.36,20220731,12:42:11,0.04,-0.05,0.03,0,
217,,,,,,,,,,,,1005.20,-0.11,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.34,20220731,12:42:12,0.03,-0.05,0.03,0,
218,,,,,,,,,,,,1005.15,-0.11,28.8,3.31,3.34,1,9,-77.75670,39.32363,122.35,20220731,12:42:13,0.04,0.02,0.03,0,
219,,,,,,,,,,,,1005.13,-0.11,28.8,3.31,3.34,1,9,-77.75670,39.32363,122.30,20220731,12:42:14,0.01,-0.09,0.02,0,
220,,,,,,,,,,,,1005.17,-0.10,28.8,3.31,3.34,1,9,-77.75670,39.32363,122.42,20220731,12:42:15,0.01,0.06,0.03,0,
221,,,,,,,,,,,,1005.14,-0.10,28.8,3.31,3.34,1,9,-77.75670,39.32363,122.51,20220731,12:42:16,0.06,0.10,0.03,0,
222,,,,,,,,,,,,1005.06,-0.10,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.61,20220731,12:42:17,0.08,0.18,0.03,0,
223,,,,,,,,,,,,1005.18,-0.09,28.8,3.31,3.34,1,9,-77.75670,39.32362,122.86,20220731,12:42:18,0.04,0.12,0.03,0,
224,,,,,,,,,,,,1005.08,-0.09,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.12,20220731,12:42:19,0.03,0.00,0.03,0,
225,,,,,,,,,,,,1005.17,-0.09,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.24,20220731,12:42:20,0.01,-0.03,0.03,0,
226,,,,,,,,,,,,1005.13,-0.09,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.37,20220731,12:42:21,0.06,0.02,0.03,0,
227,,,,,,,,,,,,1005.19,-0.08,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.43,20220731,12:42:22,0.04,-0.01,0.03,0,
228,,,,,,,,,,,,1005.13,-0.08,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.53,20220731,12:42:23,0.04,-0.01,0.03,0,
229,,,,,,,,,,,,1005.15,-0.08,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.60,20220731,12:42:24,0.04,0.03,0.03,0,
230,,,,,,,,,,,,1005.07,-0.08,28.8,3.31,3.34,1,9,-77.75670,39.32362,123.70,20220731,12:42:25,0.09,-0.07,0.03,0,
231,,,,,,,,,,,,1005.09,-0.08,28.8,3.32,3.35,1,9,-77.75670,39.32362,123.86,20220731,12:42:26,0.02,0.04,0.03,0,
232,,,,,,,,,,,,1005.11,-0.07,28.8,3.32,3.35,1,9,-77.75670,39.32362,123.90,20220731,12:42:27,0.06,0.17,0.03,0,
233,,,,,,,,,,,,1005.19,-0.07,28.8,3.32,3.35,1,9,-77.75670,39.32362,124.01,20220731,12:42:28,0.03,-0.01,0.03,0,
234,,,,,,,,,,,,1005.11,-0.07,28.8,3.32,3.35,1,9,-77.75670,39.32362,124.09,20220731,12:42:29,0.02,-0.03,0.03,0,
235,,,,,,,,,,,,1005.08,-0.07,28.8,3.32,3.35,1,9,-77.75670,39.32362,124.04,20220731,12:42:30,0.02,-0.04,0.03,0,
236,,,,,,,,,,,,1005.16,-0.06,28.8,3.32,3.35,1,9,-77.75670,39.32362,124.05,20220731,12:42:31,0.03,0.00,0.02,0,
237,,,,,,,,,,,,1005.15,-0.06,28.9,3.32,3.35,1,9,-77.75670,39.32362,124.09,20220731,12:42:32,0.08,0.03,0.02,0,
